DateTime,AddedIPs,RemovedIPs
1547717774,30,29
1547718493,31,31
1547719212,45,32
1547719939,32,41
1547720651,40,34
1547721367,28,47
1547722092,49,44
1547722826,42,20
1547723558,34,37
1547724269,31,23
1547724995,23,28
1547725960,39,31
1547726652,45,32
1547727636,44,39
1547728329,25,47
1547729054,48,33
1547729770,32,25
1547730515,40,22
1547731238,30,33
1547731960,34,38
1547732674,42,37
1547733672,35,27
1547734602,33,34
1547735563,34,35
1547736270,42,26
1547736993,25,97
1547737712,61,53
1547738431,56,51
1547739161,68,23
1547739868,40,24
1547740591,31,31
1547741364,34,40
1547742280,33,47
1547743215,50,27
1547743929,31,29
1547744659,35,44
1547745625,45,40
1547746339,31,39
1547747297,34,34
1547748007,32,29
1547748773,29,37
1547749472,46,26
1547750190,40,27
1547750912,34,40
1547751638,37,35
1547752335,30,30
1547753053,24,41
1547753770,42,33
1547754762,40,44
1547755454,28,34
1547756418,37,26
1547757141,36,24
1547757852,33,41
1547758569,33,33
1547759295,17,38
1547760013,26,23
1547760736,23,40
1547761451,36,20
1547762424,36,35
1547763138,27,38
1547763849,36,43
1547764573,31,34
1547765562,48,35
1547766281,24,44
1547766973,33,37
1547767690,40,29
1547768409,27,30
1547769131,40,36
1547769851,34,40
1547770579,38,44
1547771314,30,27
1547772035,45,26
1547772750,27,21
1547773724,29,35
1547774686,22,49
1547775440,53,23
1547776099,17,25
1547777062,37,34
1547777768,42,28
1547778740,36,49
1547779451,37,34
1547780166,33,52
1547781160,49,36
1547781874,36,30
1547782593,30,27
1547783313,30,34
1547784034,29,29
1547784760,23,37
1547785471,26,28
1547786435,34,25
1547787165,16,29
1547787886,22,37
1547788846,39,22
1547789533,19,23
1547790250,26,19
1547790970,17,31
1547791943,41,40
1547792649,28,25
1547793637,38,33
1547794359,30,34
1547795076,32,28
1547795796,35,41
1547796511,33,32
1547797230,34,35
1547797975,28,32
1547798678,29,42
1547799646,50,37
1547800334,33,20
1547801562,33,84
1547802253,37,46
1547803219,50,25
1547804201,32,34
1547804893,30,73
1547805630,74,23
1547806582,24,47
1547807545,65,26
1547808249,31,29
1547808972,30,27
1547810209,44,39
1547810888,30,37
1547811612,36,33
1547812577,42,40
1547813547,35,31
1547814249,47,27
1547814972,26,89
1547815960,69,39
1547816662,37,37
1547817378,55,34
1547818338,35,29
1547819070,23,42
1547820036,62,37
1547820983,39,46
1547821964,42,37
1547822649,31,36
1547823371,37,38
1547824350,45,31
1547825053,25,37
1547826034,43,30
1547826748,26,29
1547827482,29,35
1547828195,42,32
1547829161,57,42
1547830120,25,42
1547831079,33,29
1547832041,38,42
1547832752,40,32
1547833478,51,38
1547834437,41,44
