DateTime,Entries,UniqueIPs
1547797857,28998,28998
1547798614,28992,28992
1547800055,28985,28985
1547800774,28986,28986
1547802694,28992,28992
1547805094,29006,29006
1547806053,29012,29012
1547807014,29004,29004
1547807984,29004,29004
1547808613,29008,29008
1547809414,29005,29005
1547810617,29014,29014
1547811335,29013,29013
1547812053,29010,29010
1547813013,29011,29011
1547814454,29004,29004
1547815175,29003,29003
1547817095,29006,29006
1547817814,29004,29004
1547818775,29000,29000
1547820454,29026,29026
1547822373,29040,29040
1547823095,29046,29046
1547823815,29045,29045
1547824774,29042,29042
1547825975,29037,29037
1547826694,29041,29041
1547827413,29051,29051
1547828137,29054,29054
1547829095,29056,29056
1547830056,29051,29051
1547831015,29060,29060
1547831974,29058,29058
1547832695,29058,29058
1547833414,29043,29043
1547835098,28981,28981
1547835814,28977,28977
1547836596,28962,28962
1547837255,28953,28953
1547838694,28953,28953
1547839414,28952,28952
1547840136,28947,28947
1547840854,28943,28943
1547841575,28940,28940
1547842294,28945,28945
1547843014,28953,28953
1547843733,28948,28948
1547844454,28950,28950
1547845175,28946,28946
1547845893,28946,28946
1547846615,28951,28951
1547847340,28950,28950
1547848054,28948,28948
1547849256,28994,28994
1547849975,29000,29000
1547850694,28974,28974
1547851414,28968,28968
1547852614,28982,28982
1547853576,28995,28995
1547854301,28997,28997
1547855015,29001,29001
1547855744,29002,29002
1547856455,29011,29011
1547857174,29023,29023
1547857895,29024,29024
1547858615,29025,29025
1547859337,29028,29028
1547860055,29033,29033
1547860774,29038,29038
1547861976,29041,29041
1547863069,29034,29034
1547863655,29037,29037
1547865574,29055,29055
1547866294,29057,29057
1547867013,29055,29055
1547868453,29045,29045
1547869175,29048,29048
1547869897,29045,29045
1547870614,29068,29068
1547871574,29077,29077
1547872550,29036,29036
1547873494,29041,29041
1547874221,29049,29049
1547874934,29054,29054
1547876374,29000,29000
1547877096,29006,29006
1547878297,29009,29009
1547879015,29011,29011
1547879750,29012,29012
1547881238,29015,29015
1547881893,29017,29017
1547883573,29019,29019
1547884269,29018,29018
1547885015,29023,29023
1547885734,29024,29024
1547886454,29016,29016
1547887174,29023,29023
1547887894,29021,29021
1547888614,29031,29031
1547889575,29032,29032
1547890295,29026,29026
1547891014,29025,29025
1547891735,29022,29022
1547893173,29032,29032
1547893894,29033,29033
1547894614,29035,29035
1547895275,29030,29030
1547896055,29038,29038
1547896776,29040,29040
1547897494,29039,29039
1547898215,29048,29048
1547898934,29046,29046
1547899896,29039,29039
1547900605,29038,29038
1547901334,29039,29039
1547902054,29037,29037
1547903255,29043,29043
1547903975,29042,29042
1547904694,29044,29044
1547905441,29055,29055
1547906134,29062,29062
1547907093,29028,29028
1547907821,29024,29024
1547908535,29018,29018
1547909494,29063,29063
1547910695,29066,29066
1547911414,29063,29063
1547912614,29054,29054
1547916215,29029,29029
1547916935,29029,29029
1547917654,29030,29030
1547918375,29030,29030
1547919096,29021,29021
1547919815,29022,29022
1547921255,29022,29022
1547922215,29027,29027
1547922934,29030,29030
1547923654,29023,29023
1547924374,29024,29024
1547925093,29013,29013
1547926295,29018,29018
1547927017,29011,29011
1547928694,29015,29015
1547929415,29002,29002
1547930134,29008,29008
1547931095,28996,28996
1547931815,28994,28994
1547932534,28988,28988
1547933214,28985,28985
1547933993,28987,28987
1547934695,28986,28986
1547935414,28947,28947
1547936375,28949,28949
1547937576,28944,28944
1547939254,28937,28937
1547940218,28929,28929
1547941415,28931,28931
1547942136,28927,28927
1547943095,28933,28933
1547943816,28941,28941
1547944533,28947,28947
1547945255,28962,28962
1547945918,28963,28963
1547946525,28961,28961
1547947106,991,991
1547948375,28968,28968
1547949056,28967,28967
1547949841,27488,27488
1547950074,976,976
1547951023,28960,28960
1547951737,28988,28988
1547952733,19494,19494
1547953894,28989,28989
1547954615,29061,29061
1547955217,29062,29062
1547955833,896,896
1547956541,29056,29056
1547957256,29022,29022
1547957974,29024,29024
1547958701,29023,29023
1547959437,29031,29031
1547960856,29012,29012
1547962317,29014,29014
1547963014,29011,29011
1547963738,29004,29004
1547964695,29000,29000
1547965414,29004,29004
1547966138,29004,29004
1547966689,28998,28998
1547967336,28997,28997
1547968777,29012,29012
1547969494,29002,29002
1547970213,28997,28997
1547971865,28992,28992
1547972613,29000,29000
1547973334,29005,29005
1547974054,29007,29007
1547975253,29007,29007
1547976214,29008,29008
1547976934,29003,29003
1547977656,29000,29000
1547978374,28999,28999
1547979095,28997,28997
1547979815,28998,28998
1547980546,29003,29003
1547981254,29010,29010
1547982455,28997,28997
1547983414,28993,28993
1547984377,28983,28983
1547985096,28996,28996
1547985779,28997,28997
1547986534,29003,29003
1547987973,28998,28998
1547988658,28998,28998
1547989415,28997,28997
1547990134,29000,29000
1547991575,28997,28997
1547993014,28987,28987
1547993699,28982,28982
1547994695,28981,28981
1547996134,28957,28957
1547997573,28961,28961
1547998295,28958,28958
1547999013,28960,28960
1547999735,28965,28965
1548000455,28965,28965
1548001414,31067,31067
1548002615,31076,31076
1548003349,8870,8870
1548004054,31083,31083
1548004774,31081,31081
1548006008,6898,6898
1548006697,31078,31078
1548007415,31079,31079
1548008375,31086,31086
1548009575,31089,31089
1548010294,31096,31096
1548011494,31117,31117
1548012215,31110,31110
1548013654,31108,31108
1548015575,31110,31110
1548016295,31111,31111
1548017015,31124,31124
1548017736,31124,31124
1548019176,31121,31121
1548020373,31139,31139
1548021094,31137,31137
1548022294,31129,31129
1548023014,31141,31141
1548023735,31154,31154
1548025863,31167,31167
1548026615,31177,31177
1548027342,31176,31176
1548028258,31165,31165
1548029257,31168,31168
1548030215,31162,31162
1548031175,31165,31165
1548031895,31155,31155
1548032617,31154,31154
1548033339,31150,31150
1548034054,31150,31150
1548034775,31152,31152
1548035495,31150,31150
1548036216,31155,31155
1548036966,22511,22511
1548037555,31161,31161
1548038137,31140,31140
1548038854,31134,31134
1548040293,31138,31138
1548041014,31073,31073
1548041753,31067,31067
1548042460,31073,31073
1548043654,31079,31079
1548044854,31082,31082
1548045580,31091,31091
1548046233,8853,8853
1548047040,31091,31091
1548047749,31085,31085
1548048454,31084,31084
1548049176,31073,31073
1548049895,31076,31076
1548050615,31074,31074
1548051336,31069,31069
1548052054,31068,31068
1548052774,31073,31073
1548053495,31064,31064
1548054215,31047,31047
1548055175,31052,31052
1548056135,31054,31054
1548057109,31052,31052
1548057819,31056,31056
1548058534,31063,31063
1548059256,31048,31048
1548059975,31050,31050
1548060694,31041,31041
1548061414,31042,31042
1548062374,31044,31044
1548063094,31038,31038
1548063815,31042,31042
1548064534,31043,31043
1548065496,31050,31050
1548066214,31049,31049
1548066934,31042,31042
1548067690,398,398
1548069095,31040,31040
1548069815,31044,31044
1548070536,31044,31044
1548071255,31016,31016
1548071975,31025,31025
1548072694,31020,31020
1548073415,31022,31022
1548074375,31023,31023
1548075336,31020,31020
1548076295,31033,31033
1548077015,31033,31033
1548077737,31033,31033
1548078455,31031,31031
1548079176,31031,31031
1548079893,31037,31037
1548080614,31042,31042
1548081335,31037,31037
1548082295,31118,31118
1548083494,31115,31115
1548084215,31115,31115
1548084935,31118,31118
1548085894,31113,31113
1548086617,31118,31118
1548087575,31118,31118
1548088295,31113,31113
1548091175,31110,31110
1548091896,31111,31111
1548093094,31104,31104
1548093814,31092,31092
1548094775,31080,31080
1548095494,31088,31088
1548096216,31091,31091
1548096936,31086,31086
1548097656,31072,31072
1548098615,31074,31074
1548099334,31074,31074
1548100051,8880,8880
1548101734,31066,31066
1548103176,31071,31071
1548103922,31068,31068
1548104616,31064,31064
1548105336,31061,31061
1548107013,31044,31044
1548107735,31039,31039
1548108454,31033,31033
1548109176,31024,31024
1548109895,31013,31013
1548110614,31012,31012
1548111352,31004,31004
1548112776,30993,30993
1548113495,30987,30987
1548114214,30992,30992
1548115900,31123,31123
1548116614,31114,31114
1548117575,31111,31111
1548118295,31107,31107
1548119454,31160,31160
1548120215,31165,31165
1548120935,31164,31164
1548121655,31165,31165
1548122678,31154,31154
1548123061,31146,31146
1548123817,31143,31143
1548124535,31142,31142
1548125535,17,17
1548126214,31142,31142
1548126935,31136,31136
1548127475,31132,31132
1548128616,31134,31134
1548129343,31134,31134
1548130056,31127,31127
1548130774,31130,31130
1548131494,31129,31129
1548132073,31115,31115
1548133856,31112,31112
1548135094,31112,31112
1548135815,31114,31114
1548136534,31116,31116
1548137254,31128,31128
1548138214,31129,31129
1548138953,8827,8827
1548139656,31126,31126
1548141094,31137,31137
1548141814,31130,31130
1548142536,31142,31142
1548143256,31141,31141
1548144456,31130,31130
1548145653,31131,31131
1548146374,31133,31133
1548147094,31135,31135
1548147814,31133,31133
1548148534,31128,31128
1548149494,31209,31209
1548150213,31208,31208
1548150935,31202,31202
1548151656,31211,31211
1548152374,31205,31205
1548153336,31213,31213
