DateTime,AddedIPs,RemovedIPs
1547648102,190,0
1547649639,16,0
1547651559,15,7
1547651702,198,0
1547653455,13,13
1547653711,296,256
1547655383,214,0
1547658048,275,250
1547658901,189,0
1547659477,19,16
1547661370,3,2
1547662362,296,275
1547662502,184,0
1547663550,4,4
1547665457,7,0
1547666102,178,0
1547666439,238,237
1547667406,5,8
1547669540,5,6
1547669702,155,0
1547670764,290,191
1547671471,7,3
1547673302,156,0
1547675317,8,3
1547677236,139,6
1547678186,377,879
1547679634,37,0
1547680501,155,0
1547681567,260,262
1547683483,46,2
1547684102,184,5591
1547685370,2,13
1547686594,262,358
1547687544,6,4
1547687702,231,0
1547689698,9,11
1547690172,24,0
1547691302,227,0
1547691612,10,7
1547692365,349,326
1547693533,4,2
1547694902,214,0
1547695469,8,3
1547697176,281,656
1547698502,252,0
1547699536,14,7
1547701463,8,15
1547702102,232,0
1547702673,251,299
1547703397,12,0
1547705702,203,0
1547706750,168,302
1547707474,13,27
1547709402,318,0
1547711294,22,10
1547712279,214,732
1547712902,345,0
1547713223,27,8
1547715162,238,360
1547716502,245,0
1547717051,17,0
1547718737,236,365
1547718969,14,6
1547720102,428,0
1547721173,2,9
1547721607,41,0
1547723566,217,436
1547723702,306,0
1547724991,8,8
1547725456,194,0
1547727158,19,0
1547727302,230,0
1547729061,240,3
1547730982,254,5
1547733134,13,16
1547733680,250,320
1547734502,224,0
1547736988,21,23
1547738102,206,0
1547738888,19,15
1547740817,8,13
1547741702,232,0
1547744656,12,10
1547745302,194,0
1547746837,6,20
1547748760,10,0
1547748902,197,1
1547750656,11,4
1547752838,267,6
1547754758,9,5
1547756102,177,0
1547756673,17,7
1547758565,7,5
1547759702,179,0
1547762421,8,7
1547763302,190,0
1547764329,7,5
1547765533,36,34
1547766276,5,0
1547766902,174,0
1547768191,8,3
1547770502,167,4856
1547772032,4,6
1547773213,38,73
1547774191,221,8
1547776096,14,0
1547776572,19,23
1547777702,272,0
1547779958,6,22
1547781301,219,0
1547783769,18,9
1547784902,191,0
1547785938,9,6
1547787883,13,7
1547788502,196,0
1547791940,11,11
1547792102,195,0
1547793849,24,0
1547795793,216,8
1547799643,226,68
1547801559,4,16
1547803226,841,4081
1547803811,10,17
1547805638,255,302
1547806502,210,0
1547807542,2,0
1547808009,44,76
1547809484,302,1
1547810102,295,0
1547811389,24,0
1547812119,296,453
1547813543,32,9
1547813702,214,0
1547815230,289,0
1547815453,35,44
1547817375,225,0
1547819559,15,31
1547820043,319,285
1547820902,172,0
1547821479,22,0
1547823368,9,0
1547823875,360,620
1547824501,176,0
1547825560,4,48
1547827479,5,13
1547828102,197,0
1547828650,343,0
1547829619,17,0
1547831542,9,10
1547831702,203,0
1547833475,21,6
1547835302,199,0
1547837311,19,24
1547838902,153,0
1547841133,12,20
1547842502,153,0
1547843089,524,20
1547844971,9,7
1547846102,166,0
1547847140,15,0
1547849058,5,7
1547849702,182,0
1547850032,298,0
1547850975,7,6
1547851448,39,41
1547853178,6,6
1547853302,192,0
1547856973,199,5813
1547859365,42,0
1547860501,198,0
1547861073,9,6
1547862967,22,13
1547863217,19,41
1547864102,184,0
1547865161,11,0
1547867077,14,11
1547867702,233,0
1547868971,13,0
1547871152,18,13
1547871643,851,0
1547875003,179,23
1547878823,194,13
1547880759,14,23
1547882101,162,0
1547882699,28,9
1547884835,16,0
1547885701,211,0
1547889302,195,0
1547890912,14,14
1547892761,8,7
1547892902,194,0
1547894173,39,0
1547894675,4,1
1547896577,205,6
1547898495,15,19
1547900102,195,0
1547902338,11,63
1547903702,195,0
1547904251,18,24
1547906193,19,13
1547907301,186,0
1547908342,15,20
1547910279,8,5
1547910902,154,0
1547912199,22,6
1547913867,751,2007
1547914646,179,5
1547916752,13,15
1547918101,138,0
1547918652,24,8
1547920836,17,24
1547921702,154,0
1547922736,7,0
1547925302,196,0
1547926572,9,18
1547928762,592,505
1547928902,163,0
1547930652,16,10
1547932595,205,9
1547934758,9,16
1547936102,184,0
1547936650,18,6
1547937135,34,39
1547938850,8,4
1547939702,168,0
1547940737,13,7
1547942211,470,1131
1547942685,11,0
1547943301,193,5280
1547944806,44,42
1547946497,9,14
1547946901,183,0
1547948443,10,9
1547948651,21,0
1547950337,11,16
1547950502,181,0
1547952255,15,12
1547954172,211,10
1547956090,19,12
1547957702,173,0
1547958032,16,16
1547959938,19,0
1547961302,179,0
1547961852,26,11
1547963789,14,0
1547964901,162,0
1547965690,22,18
1547967625,10,19
1547968501,191,0
1547969293,633,703
1547970495,25,23
1547972423,182,18
1547974328,10,0
1547975702,192,0
1547976280,14,0
1547978168,14,18
1547979302,167,0
1547980093,39,49
1547980594,350,0
1547982101,3,7
1547982901,141,0
1547983948,6,9
1547985873,10,10
1547986502,171,0
1547987769,13,0
1547989689,8,9
1547990102,253,0
1547991650,284,21
1547993535,21,17
1547993702,144,0
1547994259,204,0
1547995721,12,15
1547997302,162,0
1547999562,10,29
1548000901,175,0
1548001491,306,511
1548003375,16,41
1548004502,197,0
1548005560,16,25
1548007475,13,17
1548008101,144,0
1548009367,8,8
1548011560,21,0
1548011702,183,0
1548013447,7,12
1548015650,577,495
1548017534,4,15
1548018902,489,0
1548019447,4,18
1548021370,5,7
1548022501,156,0
1548023049,40,43
1548023543,13,15
1548025453,10,8
1548026102,158,0
1548027390,10,14
1548029341,13,12
1548029702,158,4374
1548030732,44,40
1548031232,7,0
1548032683,427,724
1548033426,179,11
1548034564,18,20
1548036902,218,0
1548039131,20,38
1548040501,199,0
1548041088,14,15
1548044102,163,0
1548044905,13,31
1548046824,3,19
1548047702,218,0
1548048732,10,19
1548050674,10,10
1548051302,185,0
1548052568,15,23
1548054740,13,10
1548054902,402,0
1548056655,23,0
1548058597,469,21
1548060251,413,303
1548060755,10,22
1548062102,379,0
1548062647,14,0
1548063159,271,0
1548064585,8,27
1548065702,209,0
1548066277,239,0
1548066737,7,3
1548068656,2,3
1548069614,284,75
1548070587,7,5
1548072491,4,10
1548072902,267,0
1548074436,6,12
1548076358,15,7
1548076502,293,0
1548078248,13,9
1548080102,230,0
1548082356,4,26
1548083702,279,0
1548084293,470,698
1548085958,263,0
1548086438,8,9
1548087302,339,0
1548089293,319,319
1548090901,210,0
1548092180,8,23
1548092677,327,0
1548094339,9,12
1548094501,267,0
1548095561,229,0
1548096292,10,6
1548098180,277,22
1548098686,293,0
1548100099,6,5
1548101701,295,0
1548102021,313,0
1548103969,6,5
1548105394,602,377
1548105870,10,4
1548108517,310,0
1548108901,229,0
1548109685,13,6
1548111412,278,0
1548111865,12,19
1548112502,215,0
1548112810,43,77
1548113768,9,0
1548114272,224,0
1548115961,11,20
1548116102,181,4337
1548116647,40,45
1548117145,320,0
1548117856,10,7
1548119770,479,546
1548120490,18,16
1548121714,16,7
1548122920,319,0
1548123302,205,0
1548123877,3,0
1548125766,3,13
1548126274,315,0
1548126902,246,0
1548127714,8,11
1548128209,235,0
1548130501,204,0
1548131562,305,5
1548133483,13,1
1548133963,231,0
1548134102,171,0
1548135369,11,10
1548137317,231,6
1548137702,178,0
1548139718,202,0
1548141158,10,20
1548141301,204,0
1548142594,280,0
1548143049,19,0
1548145242,292,23
1548145932,175,0
1548147148,2,0
1548148331,168,171
1548148502,330,0
1548149073,5,16
1548150271,129,201
1548150988,7,5
1548152102,274,0
1548152887,151,310
1548154851,9,6
1548155290,34,0
1548155531,161,0
1548155702,229,0
1548156760,4,2
1548157927,152,0
1548158656,7,7
1548159302,250,0
1548159870,194,0
1548160591,3,4
1548162035,134,0
1548162523,6,2
1548162902,266,0
1548164190,199,0
1548164410,3,13
1548166365,178,11
1548166502,241,0
1548168254,8,0
1548168758,180,0
1548170460,253,4
1548171876,207,190
1548172358,8,9
1548173702,231,0
1548174008,191,188
1548174251,13,7
1548176193,4,0
1548177302,194,0
1548178088,11,0
1548178599,252,220
1548180997,461,226
1548181936,2,12
1548183878,286,155
1548184502,181,0
1548186031,226,235
1548187943,11,7
1548188102,209,0
1548189138,186,239
1548189854,9,3
1548191775,215,5
1548192032,211,246
1548193692,8,5
1548194199,200,0
1548195302,221,0
1548195610,11,0
1548196592,250,235
1548197577,8,8
1548198024,31,0
1548199247,461,191
1548199713,3,8
1548201646,5,6
1548202092,34,36
1548202502,175,5324
1548203577,7,16
1548205461,2,8
1548205933,28,21
1548206102,227,0
1548207369,5,10
1548209702,230,0
1548213302,239,0
1548216901,210,0
1548219136,9,34
1548220502,204,0
1548221051,9,7
1548222043,434,1943
1548222996,266,0
1548224102,268,0
1548224671,228,196
1548225139,11,23
1548225644,153,0
1548226575,121,219
1548227076,11,0
1548227544,128,0
1548227702,393,0
1548228514,160,0
1548228979,14,10
1548229484,149,269
1548230434,114,0
1548230920,7,10
1548231387,387,0
1548232364,117,156
1548232835,7,13
1548234029,163,0
1548234982,276,4
1548236455,167,142
1548236898,9,5
1548238574,365,142
1548239075,7,7
1548239647,166,152
1548240965,2,4
1548241474,130,0
1548241932,34,66
1548242102,228,0
