DateTime,AddedIPs,RemovedIPs
1547782923,5,0
1547784124,6,0
1547784723,6,0
1547785323,3,0
1547785922,8,0
1547787724,1,0
1547788323,10,0
1547788923,5,0
1547789523,2,0
1547790122,6,0
1547790723,2,0
1547791323,5,0
1547791924,2,0
1547792523,7,0
1547793123,4,0
1547793724,2,0
1547794323,2,0
1547794923,11,0
1547796724,1,0
1547797323,5,0
1547799123,1,0
1547799723,2,0
1547800923,2,0
1547801523,1,0
1547802123,2,0
1547802723,2,0
1547803323,2,0
1547803923,7,0
1547804523,1,0
1547805723,3,0
1547806323,2,0
1547806923,3,0
1547808123,1,0
1547809323,5,0
1547809923,11,0
1547810523,6,0
1547811723,7,0
1547812324,6,0
1547812923,1,0
1547813523,2,0
1547814124,2,0
1547815323,2,0
1547816524,2,0
1547817723,1,0
1547818323,4,0
1547818923,2,0
1547820123,3,0
1547820723,4,0
1547821323,2,0
1547821923,3,0
1547822523,1,0
1547823723,5,0
1547824323,2,0
1547824923,4,0
1547825524,7,0
1547826123,2,0
1547826723,4,0
1547827323,2,0
1547828524,4,0
1547829123,1,0
1547829724,1,0
1547830324,1,0
1547830923,3,0
1547831523,1,0
1547832123,1,0
1547833323,3,0
1547833923,3,0
1547834524,14,0
1547835724,1,0
1547836323,3,0
1547836923,1,0
1547838124,2,0
1547838722,6,0
1547839323,3,0
1547840522,1,0
1547841723,5,0
1547842923,15,0
1547843523,23,0
1547844123,5,0
1547845323,2,0
1547845923,5,0
1547846523,2,0
1547847123,2,0
1547847723,8,0
1547848924,3,0
1547850123,10,0
1547851324,2,0
1547852523,4,0
1547853723,4,0
1547854923,8,0
1547856124,6,0
1547857323,8,0
1547857923,4,0
1547858522,7,0
1547859723,1,0
1547860923,2,0
1547862125,7,0
1547862724,5,0
1547863323,3,0
1547863923,6,0
1547864524,3,0
1547865123,2,0
1547865723,2,0
1547866323,3,0
1547866923,3,0
1547867523,2,0
1547868124,4,0
1547870523,2,0
1547871124,4,0
1547871723,6,0
1547872323,3,0
1547872924,14,0
1547873523,4,0
1547874124,2,0
1547875323,1,0
1547875922,9,0
1547876523,6,0
1547877123,17,0
1547877723,1,0
1547878323,7,0
1547878923,4,0
1547880122,10,0
1547880722,2,0
1547881323,2,0
1547882524,3,0
1547883123,3,0
1547883723,4,0
1547884323,2,0
1547884923,2,0
1547886123,4,0
1547886723,3,0
1547887323,6,0
1547887923,2,0
1547888523,2,0
1547889123,2,0
1547889723,4,0
1547890323,8,0
1547890923,3,0
1547892123,1,0
1547892723,3,0
1547893323,2,0
1547894523,7,0
1547896323,2,0
1547896923,11,0
1547898122,1,0
1547899323,2,0
1547901724,2,0
1547902323,3,0
1547902924,1,0
1547904123,2,0
1547904723,2,0
1547905322,6,0
1547905923,5,0
1547907724,5,0
1547908323,1,0
1547908924,2,0
1547909523,1,0
1547910123,2,0
1547911323,3,0
1547912523,2,0
1547913123,3,0
1547913723,10,0
1547914323,7,0
1547914924,3,0
1547915523,1,0
1547916122,5,0
1547917324,2,0
1547918523,4,0
1547919123,2,0
1547919723,5,0
1547920322,1,0
1547920924,17,0
1547923324,3,0
1547924523,1,0
1547925722,1,0
1547926923,3,0
1547927523,14,0
1547928271,3,0
1547928723,2,0
1547929323,6,0
1547929922,3,0
1547930523,5,0
1547932923,3,0
1547934123,2,0
1547934723,3,0
1547935323,9,0
1547935923,1,0
1547936523,3,0
1547937723,2,0
1547938324,4,0
1547938923,4,0
1547939524,7,0
1547940724,1,0
1547941323,4,0
1547942524,2,0
1547943722,6,0
1547944323,2,0
1547944923,2,0
1547947322,3,0
1547947923,2,0
1547948523,1,0
1547949125,2,0
1547949723,4,0
1547950323,2,0
1547950922,1,0
1547951523,4,0
1547952123,5,0
1547953323,4,0
1547955123,2,0
1547956923,4,0
1547958124,1,0
1547958723,3,0
1547959323,4,0
1547959923,1,0
1547960523,5,0
1547961723,4,0
1547962923,3,0
1547964124,7,0
1547964724,1,0
1547965323,2,0
1547965923,1,0
1547967723,1,0
1547968923,3,0
1547969523,1,0
1547970123,2,0
1547970723,4,0
1547971323,5,0
1547971924,3,0
1547972523,4,0
1547973123,2,0
1547973723,4,0
1547974323,3,0
1547974924,3,0
1547975524,1,0
1547976123,1,0
1547976723,2,0
1547977323,1,0
1547979124,1,0
1547979723,2,0
1547982123,3,0
1547982724,10,0
1547983322,1,0
1547983923,2,0
1547984522,1,0
1547985123,5,0
1547986923,2,0
1547988123,1,0
1547989323,3,0
1547990523,5,0
1547991123,3,0
1547991723,1,0
1547992323,4,0
1547992922,6,0
1547994123,4,0
1547994723,2,0
1547996523,1,0
1547997123,2,0
1548000124,22,0
1548000723,2,0
1548001323,3,0
1548001922,1,0
1548003723,2,0
1548004923,1,0
1548006123,1,0
1548007323,4,0
1548007923,1,0
1548008525,1,0
1548009723,1,0
1548010923,1,0
1548011524,1,0
1548012124,1,0
1548012723,4,0
1548013323,5,0
1548014523,3,0
1548015123,6,0
1548015723,15,0
1548016323,2,0
1548016923,1,0
1548017523,3,0
1548018123,5,0
1548019322,5,0
1548019924,2,0
1548020523,5,0
1548021123,5,0
1548021723,1,0
1548022924,4,0
1548024123,2,0
1548025325,2,0
1548027123,4,0
1548027724,4,0
1548028322,1,0
1548028925,4,0
1548029523,7,0
1548030123,1,0
1548030723,2,0
1548031323,3,0
1548031923,2,0
1548032523,7,0
1548033124,1,0
1548033724,1,0
1548036123,2,0
1548037323,6,0
1548037923,9,0
1548038523,1,0
1548039123,1,0
1548039723,2,0
1548042123,4,0
1548044522,2,0
1548045123,1,0
1548046923,3,0
1548047523,1,0
1548048124,3,0
1548049323,2,0
