DateTime,AddedIPs,RemovedIPs
1547833323,2,8
1547833923,5,8
1547834524,18,5
1547835724,2,0
1547836323,3,7
1547836923,1,8
1547838124,2,5
1547838722,7,3
1547839323,5,0
1547840522,1,4
1547841123,2,5
1547841723,6,0
1547842923,15,8
1547843523,15,8
1547844123,3,3
1547845323,1,25
1547845923,3,0
1547846523,2,16
1547847123,3,19
1547847723,5,16
1547848924,6,18
1547850123,5,13
1547851324,4,30
1547852523,5,8
1547853723,6,14
1547854923,4,5
1547856124,6,31
1547857323,4,12
1547857923,6,0
1547858522,5,7
1547859723,4,7
1547860923,3,3
1547862125,8,0
1547862724,6,4
1547863323,1,0
1547863923,1,11
1547864524,3,19
1547865723,6,6
1547866323,4,0
1547866923,3,4
1547867523,2,10
1547868124,5,2
1547869324,1,9
1547870523,3,6
1547871124,8,3
1547871723,9,0
1547872323,6,20
1547872924,10,8
1547874124,3,0
1547875323,3,4
1547875922,15,7
1547876523,5,9
1547877123,19,0
1547877723,1,0
1547878323,7,5
1547878923,3,4
1547880122,3,13
1547880722,4,17
1547881323,7,0
1547881923,4,5
1547882524,4,9
1547883123,3,3
1547883723,10,0
1547884323,3,5
1547884923,3,0
1547886123,5,4
1547886723,5,6
1547887323,2,0
1547887923,8,6
1547888523,5,0
1547889123,4,2
1547889723,6,1
1547890323,9,20
1547890923,3,7
1547892123,2,8
1547892723,8,0
1547893323,7,0
1547893923,6,0
1547894523,6,4
1547895724,3,1
1547896923,14,3
1547898122,2,14
1547898723,4,0
1547899323,5,11
1547900523,1,4
1547901724,6,3
1547902323,2,10
1547902924,4,7
1547904123,4,5
1547904723,5,0
1547905322,6,6
1547905923,5,4
1547906523,1,2
1547907724,8,7
1547908924,4,8
1547909523,4,30
1547910123,4,4
1547911323,3,7
1547912523,3,0
1547913123,4,2
1547913723,7,64
1547914323,8,0
1547914924,7,8
1547915523,4,5
1547916122,7,0
1547917324,2,6
1547918523,4,8
1547919123,2,4
1547919723,5,0
1547920924,18,5
1547921524,1,0
1547923324,4,6
1547923923,2,6
1547924523,2,4
1547925722,4,0
1547926923,4,9
1547927523,16,0
1547928123,1,4
1547928723,4,0
1547929323,5,0
1547929922,3,3
1547930523,3,12
1547931723,2,13
1547932923,2,13
1547934123,4,16
1547934723,3,0
1547935323,6,0
1547936523,5,10
1547937723,5,12
1547938324,6,10
1547938923,4,6
1547939524,1,0
1547940123,1,7
1547941323,7,5
1547942524,1,3
1547943722,7,6
1547944323,2,9
1547944923,5,9
1547946123,3,0
1547947322,9,12
1547947923,3,0
1547948523,2,69
1547949125,2,0
1547949723,4,0
1547950323,2,6
1547950922,3,0
1547951523,3,7
1547952123,6,7
1547953323,6,4
1547954524,0,6
1547955123,4,8
1547955722,4,0
1547956923,5,7
1547958124,0,21
1547958723,4,0
1547959323,4,1
1547960523,4,4
1547961723,5,5
1547962923,2,12
1547964124,9,14
1547965323,1,8
1547965923,1,3
1547966523,3,0
1547967723,3,9
1547968323,0,3
1547968923,3,3
1547970123,2,1
1547970723,5,5
1547971323,8,7
1547972523,6,12
1547973123,3,0
1547973723,2,13
1547974323,3,5
1547974924,1,0
1547975524,1,5
1547976123,1,4
1547976723,3,0
1547977323,3,0
1547978523,1,7
1547979124,1,8
1547979723,3,0
1547980923,0,3
1547981524,1,0
1547982123,3,11
1547982724,14,5
1547983322,1,0
1547983923,4,4
1547984522,3,6
1547985123,6,0
1547985723,4,0
1547986923,5,12
1547987524,5,4
1547988123,2,0
1547988723,4,3
1547989323,4,5
1547990523,7,0
1547991123,5,2
1547991723,3,12
1547992323,1,2
1547992922,7,4
1547994123,1,9
1547994723,2,4
1547995323,1,10
1547996523,3,3
1547997123,4,0
1547998924,1,6
1548000124,3,0
1548000723,3,17
1548001323,1,0
1548001922,1,61
1548003723,1,4
1548004923,0,54
1548006123,1,18
1548007323,1,7
1548008525,1,0
1548009723,2,3
1548011524,2,5
1548012124,3,2
1548012723,5,2
1548013323,5,0
1548014523,2,4
1548015723,6,8
1548016323,3,0
1548016923,0,1
1548017523,4,10
1548018123,1,8
1548019322,4,0
1548019924,1,1
1548020523,4,0
1548021123,4,10
1548021723,2,0
1548022924,2,1
1548023523,1,9
1548024123,2,5
1548025325,1,0
1548025924,5,2
1548026523,2,1
1548027123,4,0
1548027724,5,0
1548028925,6,9
1548029523,4,0
1548030123,3,0
1548030723,5,3
1548031323,7,0
1548031923,4,0
1548032523,8,2
1548033124,3,0
1548033724,3,0
1548034922,0,7
1548035522,1,6
1548036123,1,1
1548036723,2,0
1548037323,6,0
1548037923,25,4
1548038523,4,4
1548039123,5,0
1548039723,2,0
1548040922,1,5
1548042123,2,3
1548043324,3,2
1548044522,1,5
1548045123,0,6
1548045723,2,4
1548046923,2,1
1548047523,1,8
1548048124,1,0
1548049323,3,11
1548050523,1,10
1548051123,1,6
1548051723,5,0
1548052323,3,3
1548052923,6,8
1548053523,2,0
1548054124,2,0
1548055323,3,12
1548055922,6,1
1548056522,3,0
1548057723,1,1
1548058323,3,1
1548058923,6,0
1548059522,5,4
1548060123,6,4
1548060723,4,3
1548061322,3,6
1548061923,3,6
1548062523,3,0
1548063123,3,2
1548063723,2,8
1548064924,3,6
1548066123,2,0
1548067323,3,3
1548068523,2,12
1548069123,2,0
1548069723,2,0
1548070322,0,7
1548070922,4,0
1548071523,4,4
1548072123,4,7
1548073322,1,3
1548074523,1,1
1548075123,3,7
1548075723,2,3
1548076922,1,4
1548078123,1,6
1548079323,3,11
