DateTime,Entries,UniqueIPs
1547778123,9469,9705
1547779323,9477,9713
1547780523,9478,9714
1547781725,9477,9713
1547782923,9483,9719
1547784124,9483,9719
1547785323,9472,9705
1547786523,9468,9700
1547787724,9457,9687
1547788922,9472,9703
1547789523,9473,9704
1547790122,9485,9717
1547791323,9490,9722
1547792523,9482,9714
1547793724,9489,9722
1547794923,9508,9742
1547796122,9509,9743
1547797323,9502,9736
1547798523,9500,9734
1547799723,9500,9735
1547800923,9502,9736
1547801523,9496,9729
1547802122,9503,9736
1547802723,9516,9748
1547803322,9521,9753
1547803923,9525,9757
1547804523,9521,9753
1547805723,9520,9752
1547806323,9518,9750
1547806922,9516,9748
1547807523,9505,9736
1547809323,9501,9731
1547809923,9507,9737
1547810522,9525,9756
1547811723,9521,9752
1547812324,9521,9751
1547812923,9521,9751
1547814123,9522,9752
1547815323,9527,9757
1547815923,9526,9756
1547816524,9527,9755
1547817723,9529,9757
1547818922,9512,9739
1547820123,9516,9743
1547820723,9520,9747
1547821323,9499,9726
1547821923,9498,9726
1547822523,9495,9723
1547823723,9507,9735
1547824323,9505,9733
1547824923,9503,9731
1547825523,9494,9722
1547826123,9465,9690
1547827323,9472,9697
1547828524,9462,9687
1547829123,9467,9692
1547829724,9464,9689
1547830922,9457,9682
1547832123,9455,9680
1547833323,9454,9679
1547833922,9452,9677
1547834524,9457,9685
1547835723,9453,9681
1547836323,9458,9686
1547836923,9462,9691
1547838123,9463,9692
1547838722,9462,9691
1547839322,9463,9692
1547840522,9466,9694
1547841722,9477,9706
1547842923,9500,9727
1547843523,9519,9746
1547844123,9533,9759
1547845323,9529,9756
1547845923,9534,9761
1547846523,9532,9759
1547847122,9536,9764
1547847722,9541,9769
1547848923,9533,9761
1547850123,9546,9775
1547850722,9544,9773
1547851923,9543,9772
1547853723,9539,9766
1547854923,9546,9773
1547856124,9557,9784
1547857323,9559,9786
1547858522,9559,9784
1547859723,9562,9787
1547860923,9560,9785
1547862125,9558,9783
1547862724,9545,9770
1547863323,9548,9773
1547863923,9572,9797
1547864523,9572,9797
1547865123,9580,9805
1547865722,9574,9799
1547866922,9562,9787
1547868124,9562,9787
1547869323,9560,9785
1547870522,9558,9783
1547871124,9555,9780
1547871723,9545,9769
1547872323,9553,9777
1547872924,9559,9785
1547873523,9565,9791
1547874124,9553,9779
1547875323,9546,9772
1547876523,9548,9774
1547877122,9549,9775
1547877723,9545,9771
1547878923,9547,9775
1547880122,9558,9786
1547880722,9561,9789
1547881323,9563,9791
1547881923,9562,9790
1547882523,9562,9790
1547883123,9559,9787
1547883723,9543,9771
1547884923,9551,9779
1547885524,9536,9764
1547886123,9547,9776
1547887322,9537,9766
1547887923,9545,9774
1547888523,9544,9773
1547890923,9537,9765
1547892122,9537,9764
1547893322,9530,9758
1547894522,9531,9759
1547895724,9538,9766
1547896323,9542,9770
1547896923,9541,9768
1547898122,9538,9765
1547899323,9542,9769
1547899923,9541,9768
1547900522,9538,9765
1547901724,9537,9764
1547902323,9539,9765
1547902924,9537,9763
1547903523,9538,9764
1547904122,9533,9759
1547905322,9551,9777
1547905922,9550,9776
1547906523,9549,9775
1547907724,9554,9782
1547908323,9558,9786
1547908923,9564,9793
1547909523,9567,9796
1547910123,9553,9782
1547911322,9556,9785
1547911922,9555,9784
1547912523,9568,9797
1547913723,9576,9805
1547914323,9576,9805
1547914923,9579,9808
1547915523,9587,9816
1547916122,9589,9818
1547917324,9593,9822
1547918523,9586,9813
1547919722,9591,9818
1547920322,9579,9805
1547920923,9555,9780
1547921524,9556,9781
1547922123,9552,9777
1547922723,9553,9778
1547923323,9554,9779
1547924523,9557,9782
1547925722,9556,9781
1547926923,9554,9779
1547928123,9553,9778
1547929322,9555,9779
1547930523,9557,9781
1547931723,9554,9778
1547932922,9538,9761
1547933524,9539,9762
1547934123,9540,9763
1547935322,9554,9777
1547935923,9559,9783
1547936523,9561,9785
1547937123,9558,9782
1547937722,9552,9775
1547938324,9545,9768
1547938923,9556,9780
1547939523,9570,9794
1547940123,9568,9792
1547940724,9571,9795
1547941323,9566,9790
1547942524,9577,9801
1547943722,9581,9802
1547944922,9583,9804
