DateTime,AddedIPs,RemovedIPs
1547810522,84,84
1547811723,52,52
1547812324,17,17
1547812923,14,14
1547813523,20,20
1547814123,3,3
1547815323,48,48
1547815923,36,36
1547816524,56,56
1547817123,24,24
1547817723,11,11
1547818922,21,21
1547820123,39,39
1547820723,22,22
1547821323,38,38
1547821923,70,70
1547822523,25,25
1547823723,61,61
1547824323,5,5
1547824923,62,62
1547825523,37,37
1547826123,52,52
1547827323,98,98
1547828524,56,56
1547829123,37,37
1547829724,43,43
1547830323,16,16
1547830922,8,8
1547832123,15,15
1547833323,78,78
1547833922,17,17
1547834524,49,49
1547835723,51,51
1547836323,37,37
1547836923,22,22
1547838123,57,57
1547838722,6,6
1547839322,10,10
1547840522,28,28
1547841722,82,82
1547842923,99,99
1547843523,99,99
1547844123,91,91
1547845323,58,58
1547845923,52,52
1547846523,35,35
1547847122,27,27
1547847722,42,42
1547848923,61,61
1547850123,78,78
1547850722,10,10
1547851323,51,51
1547851923,12,12
1547852523,9,9
1547853723,66,66
1547854923,66,66
1547856124,81,81
1547857323,96,96
1547858522,84,84
1547859723,32,32
1547860923,12,12
1547862125,12,12
1547862724,6,6
1547863323,27,27
1547863923,97,97
1547864523,99,99
1547865123,58,58
1547865722,36,36
1547866323,14,14
1547866922,2,2
1547867523,22,22
1547868124,4,4
1547868723,19,19
1547869323,4,4
1547869923,32,32
1547870522,5,5
1547871124,8,8
1547871723,31,31
1547872323,59,59
1547872924,77,77
1547873523,42,42
1547874124,28,28
1547875323,81,81
1547876523,69,69
1547877122,35,35
1547877723,24,24
1547878923,58,58
1547880122,77,77
1547880722,30,30
1547881323,15,15
1547881923,15,15
1547882523,5,5
1547883123,13,13
1547883723,18,18
1547884323,3,3
1547884923,74,74
1547885524,38,38
1547886123,99,99
1547887322,100,100
1547887923,37,37
1547888523,40,40
1547889723,23,23
1547890923,36,36
1547892122,22,22
1547893322,42,42
1547894522,36,36
1547895724,76,76
1547896323,77,77
1547896923,42,42
1547898122,60,60
1547899323,52,52
1547899923,18,18
1547900522,6,6
1547901724,6,6
1547902323,24,24
1547902924,6,6
1547903523,9,9
1547904122,14,14
1547905322,57,57
1547905922,36,36
1547906523,3,3
1547907724,72,72
1547908323,43,43
1547908923,89,89
1547909523,79,79
1547910123,3,3
1547911322,75,75
1547911922,11,11
1547912523,56,56
1547913723,97,97
1547914323,29,29
1547914923,30,30
1547915523,53,53
1547916122,24,24
1547917324,75,75
1547918523,62,62
1547919722,83,83
1547920322,66,66
1547920923,38,38
1547921524,11,11
1547922123,23,23
1547922723,12,12
1547923323,41,41
1547924523,50,50
1547925722,12,12
1547926923,9,9
1547928123,67,67
1547929322,48,48
1547930523,86,86
1547931723,28,28
1547932922,36,36
1547933524,12,12
1547934123,37,37
1547935322,98,98
1547935923,25,25
1547936523,14,14
1547937123,61,61
1547937722,74,74
1547938324,4,4
1547938923,88,88
1547939523,81,81
1547940123,33,33
1547940724,26,26
1547941323,65,65
1547942524,73,73
1547943722,53,53
1547944922,97,97
1547946123,36,36
1547947322,19,19
1547948523,69,69
1547949723,93,93
1547950323,44,44
1547950922,9,9
1547951523,30,30
1547952123,28,28
1547953323,60,60
1547953922,58,58
1547954524,32,32
1547955123,25,25
1547955722,13,13
1547956923,12,12
1547958124,97,97
1547959323,97,97
1547959923,73,73
1547960522,66,66
1547961723,76,76
1547962923,41,41
1547964123,24,24
1547964724,33,33
1547965323,41,41
1547965922,11,11
1547966522,26,26
1547967122,10,10
1547967723,13,13
1547968922,22,22
1547969523,66,66
1547970122,52,52
1547971322,96,96
1547971924,58,58
1547972523,2,2
1547973723,56,56
1547974923,56,56
1547976123,33,33
1547976723,12,12
1547977323,8,8
1547978523,27,27
1547979723,71,71
1547980923,46,46
1547981524,32,32
1547982123,32,32
1547982723,7,7
1547983322,15,15
1547984522,24,24
1547985723,29,29
1547986923,26,26
1547988123,38,38
1547988723,14,14
1547989323,14,14
1547990522,23,23
1547991123,83,83
1547991723,71,71
1547992323,38,38
1547992922,25,25
1547994123,73,73
1547994722,19,19
1547995323,9,9
1547996523,68,68
1547997123,83,83
1547997723,14,14
1547998323,21,21
1547998923,61,61
1548000124,95,95
1548000723,45,45
1548001323,72,72
1548001922,16,16
1548002523,6,6
1548003723,55,55
1548004923,77,77
1548006122,99,99
1548007323,91,91
1548007923,60,60
1548008524,27,27
1548009123,4,4
1548009723,3,3
1548010323,23,23
1548010923,12,12
1548012123,40,40
1548012723,25,25
1548013323,24,24
1548014523,70,70
1548015123,96,96
1548015723,88,88
1548016922,77,77
1548017523,59,59
1548018123,50,50
1548019322,50,50
1548019923,35,35
1548020523,54,54
1548021123,38,38
1548021723,50,50
1548022923,47,47
1548024123,47,47
1548025324,10,10
1548025924,61,61
1548026523,5,5
1548027122,76,76
1548027723,41,41
1548028322,52,52
1548028924,47,47
1548029523,64,64
1548030122,33,33
1548030723,13,13
1548031322,7,7
1548032522,4,4
1548033124,13,13
1548033724,20,20
1548034323,24,24
1548034922,26,26
1548036123,81,81
1548037322,49,49
1548038523,64,64
1548039723,27,27
1548040922,20,20
1548042122,29,29
1548043324,13,13
1548044522,97,97
1548045123,40,40
1548045723,24,24
1548046923,87,87
1548048124,91,91
1548049323,89,89
1548049922,22,22
1548050523,67,67
1548051722,58,58
1548052923,86,86
1548054124,80,80
1548055323,32,32
1548055922,18,18
1548056522,12,12
1548057123,8,8
1548057723,16,16
1548058323,77,77
1548058923,66,66
1548060122,79,79
1548061322,61,61
1548061923,14,14
1548062523,10,10
1548063122,56,56
1548063722,15,15
1548064924,56,56
1548066123,36,36
1548067323,83,83
1548068523,100,100
1548069123,15,15
1548069723,81,81
1548070922,90,90
1548072123,83,83
1548073322,62,62
1548073922,17,17
1548074523,62,62
1548075123,45,45
1548075722,32,32
1548076922,36,36
1548077522,15,15
1548078123,32,32
1548079323,41,41
1548079922,13,13
1548080523,13,13
1548081724,79,79
1548082923,95,95
1548084123,66,66
1548084723,25,25
1548085323,26,26
1548085922,41,41
1548086523,46,46
1548087122,74,74
1548087723,48,48
1548088923,35,35
1548090123,58,58
1548091322,30,30
1548092523,83,83
1548093722,75,75
1548094923,66,66
1548096123,27,27
1548097323,12,12
1548097923,5,5
1548098522,9,9
1548099123,1,1
1548099722,8,8
1548100323,50,50
1548100923,31,31
1548101523,9,9
1548102123,48,48
1548103322,36,36
1548104522,48,48
1548105722,100,100
1548106323,73,73
1548106922,17,17
1548108123,54,54
1548108722,56,56
1548109324,75,75
1548110523,94,94
1548111123,17,17
1548111723,28,28
1548112923,27,27
1548114123,75,75
1548115324,89,89
1548116522,59,59
1548117722,62,62
1548118922,42,42
1548120122,4,4
1548121323,6,6
1548121922,9,9
1548122524,35,35
1548123123,12,12
1548123723,5,5
1548124923,45,45
1548125523,75,75
1548126123,48,48
1548127322,82,82
1548127922,57,57
1548128523,53,53
1548129722,59,59
1548130922,24,24
1548131523,15,15
1548132122,27,27
1548133323,76,76
1548134523,27,27
1548135723,16,16
1548136922,73,73
1548137522,51,51
1548138122,25,25
1548139323,49,49
1548139922,10,10
1548140523,29,29
1548141723,13,13
1548142923,14,14
1548143523,11,11
1548146523,23,23
1548147723,90,90
1548148924,48,48
1548150122,28,28
1548151323,11,11
1548151923,1,1
1548152522,5,5
1548153122,3,3
1548153723,2,2
1548154924,38,38
